title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Dark Knight Rises,2h 44min,"Action,Thriller",Christopher Nolan,"Jonathan Nolan,Christopher Nolan","Christian Bale,Tom Hardy,Anne Hathaway",8.4,"1,259,445"
Mononoke-hime,2h 14min,"Animation,Adventure,Fantasy",Hayao Miyazaki,"Hayao Miyazaki,Neil Gaiman","Yôji Matsuda,Yuriko Ishida,Yûko Tanaka",8.4,"254,205"
Oldeuboi,2h,"Action,Drama,Mystery",Chan-wook Park,"Garon Tsuchiya,Nobuaki Minegishi","Min-sik Choi,Ji-tae Yu,Hye-jeong Kang",8.4,"403,101"
Aliens,2h 17min,"Action,Adventure,Sci-Fi",James Cameron,"James Cameron,David Giler","Sigourney Weaver,Michael Biehn,Carrie Henn",8.4,"543,174"
Witness for the Prosecution,1h 56min,"Crime,Drama,Mystery",Billy Wilder,"Agatha Christie,Billy Wilder","Tyrone Power,Marlene Dietrich,Charles Laughton",8.4,"74,654"
Once Upon a Time in America,3h 49min,"Crime,Drama",Sergio Leone,"Harry Grey,Leonardo Benvenuti","Robert De Niro,James Woods,Elizabeth McGovern",8.4,"245,250"
Das Boot,2h 29min,"Adventure,Drama,Thriller",Wolfgang Petersen,"Wolfgang Petersen,Lothar G. Buchheim","Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann",8.4,"185,462"
Dangal,2h 41min,"Action,Biography,Drama",Nitesh Tiwari,"Piyush Gupta,Shreyas Jain","Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh",8.6,"73,737"
Citizen Kane,1h 59min,"Drama,Mystery",Orson Welles,"Herman J. Mankiewicz,Orson Welles","Orson Welles,Joseph Cotten,Dorothy Comingore",8.4,"326,652"
Vertigo,2h 8min,"Mystery,Romance,Thriller",Alfred Hitchcock,"Alec Coppel,Samuel A. Taylor","James Stewart,Kim Novak,Barbara Bel Geddes",8.4,"279,971"
North by Northwest,2h 16min,"Action,Adventure,Mystery",Alfred Hitchcock,,"Cary Grant,Eva Marie Saint,James Mason",8.4,"241,691"
Star Wars: Episode VI - Return of the Jedi,2h 11min,"Action,Adventure,Fantasy",Richard Marquand,"Lawrence Kasdan,George Lucas","Mark Hamill,Harrison Ford,Carrie Fisher",8.4,"765,957"
Braveheart,2h 58min,"Biography,Drama,History",Mel Gibson,,"Mel Gibson,Sophie Marceau,Patrick McGoohan",8.4,"811,219"
Reservoir Dogs,1h 39min,"Crime,Drama,Thriller",Quentin Tarantino,"Quentin Tarantino,Roger Avary","Harvey Keitel,Tim Roth,Michael Madsen",8.3,"739,384"
M,1h 57min,"Crime,Drama,Mystery",Fritz Lang,"Thea von Harbou,Fritz Lang","Peter Lorre,Ellen Widmann,Inge Landgut",8.4,"110,692"
Requiem for a Dream,1h 42min,Drama,Darren Aronofsky,"Hubert Selby Jr.,Hubert Selby Jr.","Ellen Burstyn,Jared Leto,Jennifer Connelly",8.3,"633,657"
Amélie,2h 2min,"Comedy,Romance",Jean-Pierre Jeunet,"Guillaume Laurant,Jean-Pierre Jeunet","Audrey Tautou,Mathieu Kassovitz,Rufus",8.4,"589,905"
Taare Zameen Par,2h 45min,"Drama,Family",,"Amole Gupte,Amole Gupte","Darsheel Safary,Aamir Khan,Tanay Chheda",8.5,"111,201"
A Clockwork Orange,2h 16min,"Crime,Drama,Sci-Fi",Stanley Kubrick,"Stanley Kubrick,Anthony Burgess","Malcolm McDowell,Patrick Magee,Michael Bates",8.3,"618,370"
Kimi no na wa.,1h 46min,"Animation,Drama,Fantasy",Makoto Shinkai,"Makoto Shinkai,Makoto Shinkai","Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita",8.5,"58,503"
Lawrence of Arabia,3h 36min,"Adventure,Biography,Drama",David Lean,"T.E. Lawrence,Robert Bolt","Peter O'Toole,Alec Guinness,Anthony Quinn",8.3,"213,839"
Double Indemnity,1h 47min,"Crime,Drama,Film-Noir",Billy Wilder,"Billy Wilder,Raymond Chandler","Fred MacMurray,Barbara Stanwyck,Edward G. Robinson",8.3,"109,834"
Amadeus,2h 40min,"Biography,Drama,History",Milos Forman,"Peter Shaffer,Peter Shaffer","F. Murray Abraham,Tom Hulce,Elizabeth Berridge",8.3,"300,509"
